,
,Voc (V),,0.900000,
,Isc (mA),,1.025568,
,Vm (V),,0.750000,
,Im (mA),,0.885467,
,Pmax (W),,0.000664,
,Jsc (mA/cm2),,25.639200,
,FF (%),,71.949313,
,PCE (%),,16.602505,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
0.680000007,0.935112301,23.377807520,,,,,,,,,,,,,,,,,,,,,,,,,,
0.689999998,0.930122391,23.253059771,,,,,,,,,,,,,,,,,,,,,,,,,,
0.699999988,0.924915716,23.122892890,,,,,,,,,,,,,,,,,,,,,,,,,,
0.709999979,0.919180515,22.979512869,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720000029,0.911910029,22.797750717,,,,,,,,,,,,,,,,,,,,,,,,,,
0.730000019,0.904173416,22.604335390,,,,,,,,,,,,,,,,,,,,,,,,,,
0.740000010,0.896080222,22.402005561,,,,,,,,,,,,,,,,,,,,,,,,,,
0.750000000,0.885466929,22.136673215,,,,,,,,,,,,,,,,,,,,,,,,,,
0.759999990,0.873007695,21.825192380,,,,,,,,,,,,,,,,,,,,,,,,,,
0.769999981,0.858556887,21.463922167,,,,,,,,,,,,,,,,,,,,,,,,,,
0.779999971,0.841184694,21.029617346,,,,,,,,,,,,,,,,,,,,,,,,,,
0.790000021,0.820048328,20.501208201,,,,,,,,,,,,,,,,,,,,,,,,,,
0.800000012,0.793713785,19.842844631,,,,,,,,,,,,,,,,,,,,,,,,,,
0.810000002,0.762859709,19.071492716,,,,,,,,,,,,,,,,,,,,,,,,,,
0.819999993,0.725495629,18.137390725,,,,,,,,,,,,,,,,,,,,,,,,,,
0.829999983,0.679666526,16.991663142,,,,,,,,,,,,,,,,,,,,,,,,,,
0.839999974,0.625240617,15.631015413,,,,,,,,,,,,,,,,,,,,,,,,,,
0.850000024,0.559410371,13.985259284,,,,,,,,,,,,,,,,,,,,,,,,,,
0.860000014,0.480084593,12.002114818,,,,,,,,,,,,,,,,,,,,,,,,,,
0.870000005,0.386963889,9.674097237,,,,,,,,,,,,,,,,,,,,,,,,,,
0.879999995,0.277733488,6.943337212,,,,,,,,,,,,,,,,,,,,,,,,,,
0.889999986,0.151508197,3.787704918,,,,,,,,,,,,,,,,,,,,,,,,,,
0.899999976,0.006994396,0.174859895,,,,,,,,,,,,,,,,,,,,,,,,,,
0.910000026,-0.155194197,-3.879854921,,,,,,,,,,,,,,,,,,,,,,,,,,
0.920000017,-0.334850803,-8.371270087,,,,,,,,,,,,,,,,,,,,,,,,,,
0.930000007,-0.532682228,-13.317055709,,,,,,,,,,,,,,,,,,,,,,,,,,
0.939999998,-0.746381702,-18.659542548,,,,,,,,,,,,,,,,,,,,,,,,,,
0.949999988,-0.975800911,-24.395022774,,,,,,,,,,,,,,,,,,,,,,,,,,
0.959999979,-1.222398947,-30.559973675,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970000029,-1.480635023,-37.015875569,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980000019,-1.751931966,-43.798299157,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990000010,-2.036188031,-50.904700765,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000000,-2.330642892,-58.266072301,,,,,,,,,,,,,,,,,,,,,,,,,,
