Graph Data Incident Insolation
http://www.pveducation.org/
Latitude: 41°
Array Tilt: 0°
day	incidents	horizonals	modules
78	8.024	5.944	5.944
79	8.065	6.012	6.012
80	8.105	6.079	6.079
81	8.143	6.146	6.146
82	8.18	6.211	6.211
83	8.222	6.28	6.28
84	8.273	6.357	6.357
85	8.33	6.438	6.438
86	8.39	6.522	6.522
87	8.451	6.606	6.606
88	8.511	6.69	6.69
89	8.57	6.773	6.773
90	8.626	6.855	6.855
91	8.681	6.934	6.934
92	8.733	7.012	7.012
93	8.783	7.089	7.089
94	8.831	7.163	7.163
95	8.877	7.236	7.236
96	8.921	7.306	7.306
97	8.963	7.376	7.376
98	9.003	7.443	7.443
99	9.042	7.509	7.509
100	9.078	7.573	7.573
101	9.114	7.636	7.636
102	9.148	7.697	7.697
103	9.18	7.757	7.757
104	9.212	7.816	7.816
105	9.248	7.878	7.878
106	9.292	7.947	7.947
107	9.342	8.02	8.02
108	9.394	8.095	8.095
109	9.446	8.17	8.17
110	9.498	8.244	8.244
111	9.548	8.317	8.317
112	9.597	8.388	8.388
113	9.643	8.456	8.456
114	9.688	8.523	8.523
115	9.73	8.588	8.588
116	9.771	8.65	8.65
117	9.81	8.711	8.711
118	9.847	8.769	8.769
119	9.882	8.826	8.826
120	9.915	8.88	8.88
121	9.947	8.933	8.933
122	9.978	8.984	8.984
123	10.01	9.033	9.033
124	10.03	9.081	9.081
125	10.06	9.127	9.127
126	10.09	9.171	9.171
127	10.11	9.214	9.214
128	10.13	9.255	9.255
129	10.16	9.296	9.296
130	10.18	9.34	9.34
131	10.22	9.388	9.388
132	10.25	9.438	9.438
133	10.28	9.488	9.488
134	10.32	9.538	9.538
135	10.36	9.588	9.588
136	10.39	9.636	9.636
137	10.42	9.683	9.683
138	10.46	9.728	9.728
139	10.49	9.772	9.772
140	10.52	9.814	9.814
141	10.55	9.854	9.854
142	10.57	9.892	9.892
143	10.6	9.929	9.929
144	10.62	9.964	9.964
145	10.64	9.997	9.997
146	10.67	10.03	10.03
147	10.69	10.06	10.06
148	10.71	10.09	10.09
149	10.72	10.12	10.12
150	10.74	10.14	10.14
151	10.76	10.17	10.17
152	10.77	10.19	10.19
153	10.79	10.21	10.21
154	10.8	10.23	10.23
155	10.81	10.25	10.25
156	10.82	10.27	10.27
157	10.84	10.28	10.28
158	10.85	10.3	10.3
159	10.85	10.31	10.31
160	10.86	10.33	10.33
161	10.87	10.34	10.34
162	10.88	10.35	10.35
163	10.88	10.36	10.36
164	10.89	10.37	10.37
165	10.89	10.38	10.38
166	10.9	10.38	10.38
167	10.9	10.39	10.39
168	10.91	10.39	10.39
169	10.91	10.4	10.4
170	10.91	10.4	10.4
171	10.91	10.4	10.4
172	10.91	10.4	10.4
173	10.91	10.4	10.4
174	10.91	10.4	10.4
175	10.91	10.4	10.4
176	10.91	10.4	10.4
177	10.9	10.39	10.39
178	10.9	10.39	10.39
179	10.9	10.38	10.38
180	10.89	10.37	10.37
181	10.89	10.36	10.36
182	10.88	10.36	10.36
183	10.87	10.34	10.34
184	10.87	10.33	10.33
185	10.86	10.32	10.32
186	10.85	10.31	10.31
187	10.84	10.29	10.29
188	10.83	10.28	10.28
189	10.82	10.26	10.26
190	10.81	10.24	10.24
191	10.79	10.22	10.22
192	10.78	10.2	10.2
193	10.77	10.18	10.18
194	10.75	10.15	10.15
195	10.73	10.13	10.13
196	10.72	10.1	10.1
197	10.7	10.07	10.07
198	10.68	10.04	10.04
199	10.66	10.01	10.01
200	10.63	9.981	9.981
201	10.61	9.947	9.947
202	10.58	9.911	9.911
203	10.56	9.873	9.873
204	10.53	9.834	9.834
205	10.5	9.793	9.793
206	10.47	9.75	9.75
207	10.44	9.706	9.706
208	10.41	9.66	9.66
209	10.37	9.612	9.612
210	10.34	9.563	9.563
211	10.3	9.513	9.513
212	10.27	9.463	9.463
213	10.23	9.413	9.413
214	10.2	9.364	9.364
215	10.17	9.318	9.318
216	10.14	9.275	9.275
217	10.12	9.234	9.234
218	10.1	9.192	9.192
219	10.07	9.149	9.149
220	10.05	9.104	9.104
221	10.02	9.057	9.057
222	9.992	9.009	9.009
223	9.963	8.959	8.959
224	9.931	8.907	8.907
225	9.899	8.853	8.853
226	9.864	8.798	8.798
227	9.828	8.74	8.74
228	9.79	8.681	8.681
229	9.751	8.619	8.619
230	9.709	8.556	8.556
231	9.666	8.49	8.49
232	9.62	8.422	8.422
233	9.573	8.352	8.352
234	9.523	8.281	8.281
235	9.472	8.207	8.207
236	9.42	8.132	8.132
237	9.368	8.057	8.057
238	9.317	7.983	7.983
239	9.269	7.912	7.912
240	9.229	7.846	7.846
241	9.196	7.786	7.786
242	9.164	7.727	7.727
243	9.131	7.667	7.667
244	9.096	7.605	7.605
245	9.06	7.541	7.541
246	9.023	7.476	7.476
247	8.983	7.41	7.41
248	8.942	7.341	7.341
249	8.899	7.271	7.271
250	8.854	7.199	7.199
251	8.807	7.126	7.126
252	8.758	7.051	7.051
253	8.707	6.974	6.974
254	8.654	6.895	6.895
255	8.598	6.814	6.814
256	8.541	6.732	6.732
257	8.481	6.649	6.649
258	8.421	6.564	6.564
259	8.36	6.48	6.48
260	8.301	6.397	6.397
261	8.246	6.318	6.318
262	8.2	6.245	6.245
263	8.162	6.178	6.178
264	8.124	6.113	6.113
265	8.085	6.046	6.046
266	8.045	5.978	5.978
267	8.003	5.909	5.909
268	7.96	5.839	5.839
269	7.915	5.768	5.768
270	7.869	5.697	5.697
271	7.82	5.624	5.624
272	7.77	5.55	5.55
273	7.718	5.475	5.475
274	7.664	5.399	5.399
275	7.609	5.322	5.322
276	7.551	5.245	5.245
277	7.491	5.166	5.166
278	7.43	5.087	5.087
279	7.367	5.007	5.007
280	7.304	4.928	4.928
281	7.242	4.85	4.85
282	7.182	4.774	4.774
283	7.128	4.702	4.702
284	7.083	4.637	4.637
285	7.043	4.576	4.576
286	7.004	4.515	4.515
287	6.963	4.454	4.454
288	6.921	4.393	4.393
289	6.879	4.332	4.332
290	6.835	4.27	4.27
291	6.79	4.209	4.209
292	6.743	4.147	4.147
293	6.696	4.085	4.085
294	6.647	4.023	4.023
295	6.597	3.961	3.961
296	6.546	3.899	3.899
297	6.494	3.836	3.836
298	6.44	3.774	3.774
299	6.386	3.712	3.712
300	6.33	3.65	3.65
301	6.274	3.589	3.589
302	6.218	3.528	3.528
303	6.161	3.468	3.468
304	6.106	3.409	3.409
305	6.053	3.353	3.353
306	6.003	3.299	3.299
307	5.959	3.248	3.248
308	5.92	3.202	3.202
309	5.886	3.158	3.158
310	5.851	3.115	3.115
311	5.816	3.073	3.073
312	5.781	3.031	3.031
313	5.746	2.989	2.989
314	5.711	2.949	2.949
315	5.675	2.908	2.908
316	5.639	2.869	2.869
317	5.603	2.829	2.829
318	5.567	2.791	2.791
319	5.531	2.753	2.753
320	5.495	2.716	2.716
321	5.459	2.68	2.68
322	5.423	2.644	2.644
323	5.387	2.609	2.609
324	5.352	2.575	2.575
325	5.316	2.542	2.542
326	5.282	2.509	2.509
327	5.247	2.478	2.478
328	5.214	2.447	2.447
329	5.18	2.417	2.417
330	5.148	2.389	2.389
331	5.116	2.361	2.361
332	5.086	2.335	2.335
333	5.056	2.309	2.309
334	5.028	2.285	2.285
335	5	2.262	2.262
336	4.974	2.24	2.24
337	4.95	2.219	2.219
338	4.927	2.2	2.2
339	4.906	2.182	2.182
340	4.886	2.165	2.165
341	4.867	2.149	2.149
342	4.851	2.135	2.135
343	4.836	2.122	2.122
344	4.822	2.11	2.11
345	4.81	2.1	2.1
346	4.8	2.09	2.09
347	4.791	2.082	2.082
348	4.783	2.075	2.075
349	4.776	2.069	2.069
350	4.771	2.063	2.063
351	4.766	2.059	2.059
352	4.763	2.056	2.056
353	4.761	2.054	2.054
354	4.759	2.053	2.053
355	4.759	2.053	2.053
356	4.76	2.053	2.053
357	4.762	2.055	2.055
358	4.765	2.058	2.058
359	4.768	2.061	2.061
360	4.773	2.066	2.066
361	4.779	2.072	2.072
362	4.787	2.078	2.078
363	4.795	2.086	2.086
364	4.805	2.095	2.095
