1		 				2		 				3		 			
AM1.5G	13.946365	 	 	Measure Mode	AC-EQE	AM1.5G	13.946973	 	 	Measure Mode	AC-EQE	AM1.5G	13.231085	 	 	Measure Mode	AC-EQE
AM1.5D	11.978026	 	 	AM 1.5G	13.946365	AM1.5D	11.977920	 	 	AM 1.5G	13.946973	AM1.5D	11.368427	 	 	AM 1.5G	13.231085
AM 0	17.756974	 	 	AM 1.5D	11.978026	AM 0	17.763218	 	 	AM 1.5D	11.977920	AM 0	16.835940	 	 	AM 1.5D	11.368427
Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.756974	Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.763218	Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	16.835940
575.0	73.919165	0.342770	0.253035			575.0	76.056480	0.352681	0.260175			575.0	74.546498	0.345679	0.255096		
580.0	74.917111	0.350419	0.256187			580.0	76.995146	0.360139	0.263442			580.0	75.468353	0.352997	0.258215		
585.0	75.967610	0.358396	0.271198			585.0	78.064316	0.368287	0.278702			585.0	76.269403	0.359819	0.272728		
590.0	76.717074	0.365025	0.262489			590.0	78.465087	0.373342	0.269115			590.0	76.529420	0.364132	0.262707		
595.0	77.906492	0.373826	0.266310			595.0	79.460841	0.381284	0.271996			595.0	77.101935	0.369965	0.264597		
600.0	78.473208	0.379709	0.276121			600.0	79.616712	0.385242	0.280882			600.0	76.776576	0.371500	0.271701		
605.0	79.088129	0.385874	0.280817			605.0	80.028803	0.390463	0.284529			605.0	76.497115	0.373232	0.273166		
610.0	79.081296	0.389029	0.287273			610.0	79.968090	0.393391	0.290592			610.0	75.850886	0.373137	0.276701		
615.0	79.404762	0.393822	0.285500			615.0	79.991300	0.396731	0.288156			615.0	75.063317	0.372290	0.271865		
620.0	79.077594	0.395388	0.286343			620.0	79.485981	0.397430	0.288138			620.0	73.948557	0.369743	0.269222		
625.0	78.621491	0.396278	0.283995			625.0	78.903408	0.397699	0.285240			625.0	72.901011	0.367445	0.264466		
630.0	78.288782	0.397758	0.278544			630.0	78.523559	0.398950	0.279461			630.0	71.979719	0.365703	0.257190		
635.0	77.633258	0.397557	0.281513			635.0	77.664694	0.397718	0.281990			635.0	70.629507	0.361691	0.257466		
640.0	76.895288	0.396879	0.287987			640.0	76.615617	0.395435	0.287521			640.0	69.480992	0.358612	0.261112		
645.0	75.411047	0.392259	0.284782			645.0	74.638815	0.388242	0.282811			645.0	67.539122	0.351312	0.256195		
650.0	72.527854	0.380186	0.269636			650.0	70.281819	0.368413	0.264164			650.0	63.808442	0.334480	0.239419		
655.0	65.494149	0.345957	0.255434			655.0	61.130452	0.322907	0.243205			655.0	55.692676	0.294183	0.221160		
660.0	51.591272	0.274599	0.203476			660.0	45.669296	0.243079	0.185467			660.0	41.716664	0.222040	0.169166		
665.0	33.713545	0.180802	0.158679			665.0	28.220460	0.151344	0.137434			665.0	25.735927	0.138019	0.125461		
670.0	17.972556	0.097110	0.098774			670.0	14.525016	0.078482	0.081685			670.0	13.256083	0.071626	0.074512		
675.0	8.675558	0.047226	0.050881			675.0	6.906000	0.037593	0.040920			675.0	6.334481	0.034482	0.037406		
680.0	3.961769	0.021726	0.024200			680.0	3.096240	0.016979	0.019154			680.0	2.903584	0.015923	0.017690		
685.0	1.839601	0.010162	0.011078			685.0	1.470760	0.008125	0.008721			685.0	1.360748	0.007517	0.008143		
690.0	0.898664	0.005001	0.004478			690.0	0.744778	0.004144	0.003621			690.0	0.716104	0.003985	0.003393		
695.0	0.497133	0.002786	0.002425			695.0	0.411511	0.002306	0.002009			695.0	0.405897	0.002275	0.001950		
700.0	0.317527	0.001792	0.001488			700.0	0.296823	0.001676	0.001294			700.0	0.254773	0.001438	0.001206		
705.0	0.273531	0.001555	0.001074			705.0	0.212712	0.001209	0.000925			705.0	0.233128	0.001325	0.000887		
710.0	0.234083	0.001340	0.000950			710.0	0.203411	0.001165	0.000779			710.0	0.218869	0.001253	0.000846		
715.0	0.132772	0.000766	0.000687			715.0	0.315646	0.001820	0.000969			715.0	0.188712	0.001088	0.000762		
720.0	0.161386	0.000937	0.000461			720.0	0.138598	0.000805	0.000734			720.0	0.131008	0.000761	0.000510		
725.0	0.181062	0.001059	0.000553			725.0	0.137558	0.000804	0.000446			725.0	0.085815	0.000502	0.000350		
730.0	0.062013	0.000365	0.000380			730.0	0.118283	0.000696	0.000400			730.0	0.118617	0.000698	0.000320		
