,
,Voc (V),,0.280000,
,Isc (mA),,0.002240,
,Vm (V),,0.130000,
,Im (mA),,0.001219,
,Pmax (W),,0.000000,
,Jsc (mA/cm2),,0.056008,
,FF (%),,25.259279,
,PCE (%),,0.003961,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
0.870000005,-0.005126537,-0.128163424,,,,,,,,,,,,,,,,,,,,,,,,,,
0.879999995,-0.005220139,-0.130503474,,,,,,,,,,,,,,,,,,,,,,,,,,
0.889999986,-0.005336860,-0.133421497,,,,,,,,,,,,,,,,,,,,,,,,,,
0.899999976,-0.005421368,-0.135534196,,,,,,,,,,,,,,,,,,,,,,,,,,
0.910000026,-0.005549274,-0.138731855,,,,,,,,,,,,,,,,,,,,,,,,,,
0.920000017,-0.005658145,-0.141453620,,,,,,,,,,,,,,,,,,,,,,,,,,
0.930000007,-0.005767948,-0.144198702,,,,,,,,,,,,,,,,,,,,,,,,,,
0.939999998,-0.005902316,-0.147557898,,,,,,,,,,,,,,,,,,,,,,,,,,
0.949999988,-0.005997330,-0.149933248,,,,,,,,,,,,,,,,,,,,,,,,,,
0.959999979,-0.006154009,-0.153850226,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970000029,-0.006270757,-0.156768920,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980000019,-0.006421301,-0.160532522,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990000010,-0.006569558,-0.164238952,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000000,-0.006751769,-0.168794224,,,,,,,,,,,,,,,,,,,,,,,,,,
