,
,Voc (V),,0.890000,
,Isc (mA),,1.022309,
,Vm (V),,0.730000,
,Im (mA),,0.876275,
,Pmax (W),,0.000640,
,Jsc (mA/cm2),,25.557724,
,FF (%),,70.305773,
,PCE (%),,15.992014,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
0.750000000,0.847700285,21.192507120,,,,,,,,,,,,,,,,,,,,,,,,,,
0.759999990,0.830647012,20.766175294,,,,,,,,,,,,,,,,,,,,,,,,,,
0.769999981,0.810405705,20.260142628,,,,,,,,,,,,,,,,,,,,,,,,,,
0.779999971,0.786283985,19.657099620,,,,,,,,,,,,,,,,,,,,,,,,,,
0.790000021,0.759507413,18.987685326,,,,,,,,,,,,,,,,,,,,,,,,,,
0.800000012,0.727965613,18.199140322,,,,,,,,,,,,,,,,,,,,,,,,,,
0.810000002,0.688692613,17.217315326,,,,,,,,,,,,,,,,,,,,,,,,,,
0.819999993,0.643557985,16.088949633,,,,,,,,,,,,,,,,,,,,,,,,,,
0.829999983,0.590891228,14.772280701,,,,,,,,,,,,,,,,,,,,,,,,,,
0.839999974,0.528001518,13.200037938,,,,,,,,,,,,,,,,,,,,,,,,,,
0.850000024,0.453941291,11.348532280,,,,,,,,,,,,,,,,,,,,,,,,,,
0.860000014,0.368522509,9.213062731,,,,,,,,,,,,,,,,,,,,,,,,,,
0.870000005,0.270832388,6.770809705,,,,,,,,,,,,,,,,,,,,,,,,,,
0.879999995,0.159629795,3.990744881,,,,,,,,,,,,,,,,,,,,,,,,,,
0.889999986,0.034236611,0.855915277,,,,,,,,,,,,,,,,,,,,,,,,,,
0.899999976,-0.101769598,-2.544239942,,,,,,,,,,,,,,,,,,,,,,,,,,
0.910000026,-0.258324406,-6.458110147,,,,,,,,,,,,,,,,,,,,,,,,,,
0.920000017,-0.425316190,-10.632904741,,,,,,,,,,,,,,,,,,,,,,,,,,
0.930000007,-0.606003916,-15.150097897,,,,,,,,,,,,,,,,,,,,,,,,,,
0.939999998,-0.799035421,-19.975885516,,,,,,,,,,,,,,,,,,,,,,,,,,
0.949999988,-1.004384016,-25.109600392,,,,,,,,,,,,,,,,,,,,,,,,,,
0.959999979,-1.222388004,-30.559700099,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970000029,-1.449748990,-36.243724753,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980000019,-1.687165000,-42.179125012,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990000010,-1.934707980,-48.367699492,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000000,-2.190161962,-54.754049052,,,,,,,,,,,,,,,,,,,,,,,,,,
