,
,Voc (V),,0.890000,
,Isc (mA),,1.019152,
,Vm (V),,0.730000,
,Im (mA),,0.863670,
,Pmax (W),,0.000630,
,Jsc (mA/cm2),,25.478800,
,FF (%),,69.509087,
,PCE (%),,15.761972,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
0.720000029,0.874566380,21.864159498,,,,,,,,,,,,,,,,,,,,,,,,,,
0.730000019,0.863669673,21.591741825,,,,,,,,,,,,,,,,,,,,,,,,,,
0.740000010,0.851701712,21.292542806,,,,,,,,,,,,,,,,,,,,,,,,,,
0.750000000,0.837103988,20.927599689,,,,,,,,,,,,,,,,,,,,,,,,,,
0.759999990,0.821424474,20.535611839,,,,,,,,,,,,,,,,,,,,,,,,,,
0.769999981,0.802513212,20.062830299,,,,,,,,,,,,,,,,,,,,,,,,,,
0.779999971,0.779728522,19.493213040,,,,,,,,,,,,,,,,,,,,,,,,,,
0.790000021,0.753011089,18.825277220,,,,,,,,,,,,,,,,,,,,,,,,,,
0.800000012,0.722175871,18.054396787,,,,,,,,,,,,,,,,,,,,,,,,,,
0.810000002,0.684474828,17.111870693,,,,,,,,,,,,,,,,,,,,,,,,,,
0.819999993,0.639655918,15.991397959,,,,,,,,,,,,,,,,,,,,,,,,,,
0.829999983,0.586871291,14.671782264,,,,,,,,,,,,,,,,,,,,,,,,,,
0.839999974,0.525828917,13.145722914,,,,,,,,,,,,,,,,,,,,,,,,,,
0.850000024,0.453794986,11.344874656,,,,,,,,,,,,,,,,,,,,,,,,,,
0.860000014,0.368728390,9.218209743,,,,,,,,,,,,,,,,,,,,,,,,,,
0.870000005,0.269889191,6.747229781,,,,,,,,,,,,,,,,,,,,,,,,,,
0.879999995,0.156124603,3.903115066,,,,,,,,,,,,,,,,,,,,,,,,,,
0.889999986,0.026119080,0.652976996,,,,,,,,,,,,,,,,,,,,,,,,,,
0.899999976,-0.121640798,-3.041019954,,,,,,,,,,,,,,,,,,,,,,,,,,
0.910000026,-0.286699214,-7.167480362,,,,,,,,,,,,,,,,,,,,,,,,,,
0.920000017,-0.469590101,-11.739752517,,,,,,,,,,,,,,,,,,,,,,,,,,
0.930000007,-0.671274727,-16.781868180,,,,,,,,,,,,,,,,,,,,,,,,,,
0.939999998,-0.889575691,-22.239392274,,,,,,,,,,,,,,,,,,,,,,,,,,
0.949999988,-1.126277028,-28.156925691,,,,,,,,,,,,,,,,,,,,,,,,,,
0.959999979,-1.379061956,-34.476548899,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970000029,-1.646619057,-41.165476432,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980000019,-1.929171965,-48.229299136,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990000010,-2.226674929,-55.666873232,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000000,-2.536407905,-63.410197617,,,,,,,,,,,,,,,,,,,,,,,,,,
